"","countyfp","name","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"1","001","Appling",39.257268722467,46329.0607997271,1589,451168,313064,84399,6562,40059,7084
"2","003","Atkinson",38.4809210526316,46394.5187307365,456,149798,101727,27769,1900,16046,2356
"3","005","Bacon",39.0176524953789,46729.4292073405,1082,254615,185155,41743,1846,21364,4507
"4","007","Baker",41.7476265822785,51543.5096153846,632,231650,147399,64465,2853,12909,4024
"5","009","Baldwin",40.3064608571056,56741.1261805246,7677,2556901,1515774,806721,67064,117873,49469
"6","011","Banks",40.1769864233252,61271.9469591873,8986,4038370,2676097,682756,142193,435778,101546
"7","013","Barrow",37.6271199159538,69764.5242265691,13326,6893150,4561140,1115489,296243,748047,172231
"8","015","Bartow",39.823857870626,67291.4562977827,38655,18474087,13315811,2379059,507913,1772966,498338
"9","017","Ben Hill",39.4692441355343,41016.7057125999,2302,479847,304288,127244,5325,35864,7126
"10","019","Berrien",41.423768115942,41831.5986596013,345,92103,69070,11954,2233,7355,1491
"11","021","Bibb",40.1654378779013,58968.2552545768,35889,15886398,9315106,4442612,489233,1259907,379540
"12","023","Bleckley",41.0704147465438,54037.6566944994,1085,350334,230640,92847,5025,15424,6398
"13","025","Brantley",40.7781659388646,43538.5443345885,229,72032,60134,6108,778,3789,1223
"14","027","Brooks",41.2394444444444,47093.1587520412,540,151820,93299,45296,1341,9520,2364
"15","029","Bryan",38.0995939888645,69635.4044898924,16964,7976898,4992923,1584125,227910,887603,284337
"16","031","Bulloch",37.326578097475,53812.2291750529,13624,5484206,3473495,1326496,130549,385554,168112
"17","033","Burke",38.5925318151373,50475.9511095863,2986,930670,498219,341267,10350,55079,25755
"18","035","Butts",39.9446258884649,60244.5983856866,16059,8753800,5403334,1925682,242484,957352,224948
"19","037","Calhoun",42.1124031007752,46520.3798449612,258,91849,53690,30057,2613,3728,1761
"20","039","Camden",39.573454076993,65052.585851465,13196,7102632,4583985,1195885,213731,903204,205827
"21","043","Candler",39.4710954428776,57980.4530731061,5454,2512905,1584348,568881,79448,212748,67480
"22","045","Carroll",37.8854195955332,61031.8806580723,22991,9426138,6348054,1875844,186209,747290,268741
"23","047","Catoosa",40.6819252939764,62355.5563312697,11552,4817070,3801304,454222,118046,327075,116423
"24","049","Charlton",40.6463379260334,51605.2050369314,1379,541901,391521,87096,10478,41255,11551
"25","051","Chatham",38.444116683448,65575.0644370075,56504,29559145,17574979,7456463,885282,2615960,1026461
"26","053","Chattahoochee",35.256515197111,62619.6850768484,3323,1344954,793167,350845,39457,112649,48836
"27","055","Chattooga",42.0979091800065,43694.0149782606,3061,805924,658054,68955,8516,53625,16774
"28","057","Cherokee",39.6140621586259,85661.5174777899,49880,20151207,14680845,2290442,593556,2045140,541224
"29","059","Clarke",37.5980107349247,58994.2330628097,13652,6349721,4146445,1241910,201792,617995,141579
"30","061","Clay",44.2382636655949,43385.6477313326,311,97801,59009,31476,1141,4323,1852
"31","063","Clayton",35.2943730121282,56833.902927893,44256,24636476,6766561,13730006,985948,2412012,741949
"32","065","Clinch",40.0753383458647,41447.4516383124,665,190826,134580,36931,2192,13526,3597
"33","067","Cobb",38.1760878225875,80988.6784569742,111247,58202337,32374708,15433426,2351631,6389593,1652979
"34","069","Coffee",38.4948653447766,44375.9420323205,6758,1788435,1116438,418507,21358,207009,25123
"35","071","Colquitt",38.6464907914385,45729.5169253749,6027,1651274,1035525,352058,29623,207360,26708
"36","073","Columbia",38.4214195614205,74285.9665840957,20612,8471635,5153511,2135509,245860,615114,321641
"37","075","Cook",39.5000354484225,58160.5749663393,5642,2458354,1591558,430161,83993,289437,63205
"38","077","Coweta",39.6973664370373,73777.4266350055,30125,13146663,8185210,3164175,381914,1073515,341849
"39","079","Crawford",43.8977528089888,48668.6376404494,356,106339,73117,26312,1407,3978,1525
"40","081","Crisp",41.2721673877772,60855.2766463623,7396,3731026,2368797,834808,121786,317756,87879
"41","083","Dade",41.5282420303312,58317.3866994668,6462,3044500,2245060,364099,80478,274492,80371
"42","085","Dawson",40.27745347948,75545.255766893,7846,2987401,2312055,237265,111131,260421,66529
"43","087","Decatur",41.2337817638266,48230.1168250271,6021,1555242,909493,478688,23661,111038,32362
"44","089","DeKalb",36.808720202762,66606.0230243604,103842,55629181,17836705,27469747,3028330,5787208,1507191
"45","091","Dodge",42.5124282982792,44470.6455399707,1046,279822,181678,72251,1891,16901,7101
"46","093","Dooly",40.8189887152778,63863.5634192169,4608,2924474,1819137,530663,119513,379760,75401
"47","095","Dougherty",38.9489880111451,53909.79010733,10416,3299299,1623775,1316318,64982,223280,70944
"48","097","Douglas",37.8028105812993,68025.5815498808,33964,16427190,7935592,6284649,363031,1426063,417855
"49","099","Early",40.8267576075551,44416.3749233586,953,271393,168193,72205,9795,15712,5488
"50","101","Echols",42.8756363636364,46479.0945454545,275,65192,45176,9846,269,8209,1692
"51","103","Effingham",36.4390656981461,65514.141345896,9933,3142517,2155267,641555,56713,181579,107403
"52","105","Elbert",41.7334497816594,46437.3543132193,2290,613597,409052,134764,13355,43868,12558
"53","107","Emanuel",39.1548737864078,49416.3368649108,2575,831300,522611,198055,20616,67244,22774
"54","109","Evans",38.9206806282723,45988.868209558,1528,510668,313106,127584,6889,50160,12929
"55","111","Fannin",46.4367504051864,62237.2162874591,7404,3340629,2560046,301444,82644,311965,84530
"56","113","Fayette",40.7205636978046,84667.7478512903,13917,6190689,2911202,2422376,211663,472827,172621
"57","115","Floyd",40.7867823112631,55139.8081640244,16372,5544550,4226855,609748,86425,477862,143660
"58","117","Forsyth",39.424495226388,103613.264730463,43897,16710403,11528064,1689822,1339682,1723591,429244
"59","119","Franklin",40.9823381158961,56495.9135078952,8777,3537420,2436578,574245,110585,329140,86872
"60","121","Fulton",37.4829969923861,76763.6926001097,139983,79624558,32202193,33260074,4524725,7556913,2080653
"61","123","Gilmer",44.274799694773,61307.3949957025,5242,2175618,1663616,174836,50942,227393,58831
"62","125","Glascock",42.6046875,52357.184515663,384,48961,30809,14331,236,2332,1253
