"","countyfp","name","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"63","127","Glynn",41.2337558731551,64579.2556833351,19352,10215892,6524844,1810419,308692,1273683,298254
"64","129","Gordon",40.1921523261631,57611.0863745546,15992,6658586,4883128,681060,171165,761424,161809
"65","131","Grady",40.9569730077121,50679.0313026498,3112,805017,501534,205591,13399,69106,15387
"66","133","Greene",42.257481636936,68823.6293443669,4765,2485145,1559705,580240,100074,183505,61621
"67","135","Gwinnett",37.1043826389161,78980.9860914232,148252,79949665,36524140,22067327,6996069,12122311,2239818
"68","137","Habersham",42.0459347181009,59341.108811356,8425,3490223,2593292,337112,104733,366085,89001
"69","139","Hall",39.6325353709392,68743.0042567687,40047,17761055,11759026,2096737,729029,2768550,407713
"70","141","Hancock",43.8050480769231,45434.5987935858,416,162190,64386,76798,4575,13633,2798
"71","143","Haralson",39.7939482520368,58353.8597676929,13020,5688330,3810603,1088077,135765,501724,152161
"72","145","Harris",41.2454242928453,73902.4994848623,4808,1732282,1132962,399392,51124,100212,48592
"73","147","Hart",43.4659537771645,48474.4104154376,2899,774500,566204,136806,16427,41274,13789
"74","149","Heard",41.35875,57035.7604166667,480,190519,140097,33397,2501,9857,4667
"75","151","Henry",38.1255058537965,70705.8008335091,58343,28440446,13708687,10626390,948050,2312329,844990
"76","153","Houston",38.4758028494417,65397.0862514999,25970,10817018,6673144,2675003,375217,811425,282229
"77","155","Irwin",38.9408510638298,48526.8074472298,235,72628,47911,15295,1067,7187,1168
"78","157","Jackson",39.0865751171191,66957.6671566328,16692,7219214,4827180,1098415,269972,840898,182749
"79","159","Jasper",41.0176674364896,59160.1191866814,866,288705,193471,70673,4016,12793,7752
"80","161","Jeff Davis",38.8797706797707,43103.1617683101,1221,291827,196922,61377,1812,27852,3864
"81","163","Jefferson",41.2383746355685,46500.3724626297,2744,895851,548955,248312,15316,60550,22718
"82","165","Jenkins",40.9862489120975,39910.8294437539,1149,304959,187940,84848,4622,18910,8639
"83","167","Johnson",40.8862416107383,45583.8439642704,894,241594,160279,63507,2415,9158,6235
"84","169","Jones",41.1547968160871,57732.7745685066,2387,724616,474384,196003,13338,27497,13394
"85","171","Lamar",40.0514945138101,52634.5762898287,2643,694302,461853,177196,10260,30289,14704
"86","173","Lanier",38.880200729927,45940.1243295102,1096,332480,232584,65368,3861,22773,7894
"87","175","Laurens",40.3671935557413,52604.9271977578,13159,5043161,3119160,1290514,140177,366188,127122
"88","177","Lee",39.5469348127601,62787.820668003,3605,952013,575492,287661,18996,50879,18985
"89","179","Liberty",36.0899647047422,59379.4592713054,13761,6620500,3793960,1566374,186295,814384,259487
"90","181","Lincoln",44.4960339943343,51648.213889146,353,130383,82973,31328,2001,9696,4385
"91","183","Long",34.678801843318,52877.1763482376,434,139025,82758,34727,2039,14106,5395
"92","185","Lowndes",38.2889671008055,59778.0500205391,26566,12286969,7641244,2407341,412278,1503328,322778
"93","187","Lumpkin",40.5223356618306,66035.739930093,5583,2458346,1870319,242892,76159,209815,59161
"94","189","McDuffie",39.8404061716999,59789.9835654852,7583,3662678,2193982,953130,97488,305291,112787
"95","191","McIntosh",41.6402637703646,67576.7094481022,3867,2602574,1610057,433507,91917,383797,83296
"96","193","Macon",41.9033980582524,43580.5757820928,412,127161,67543,49953,1084,6074,2507
"97","195","Madison",41.4284932869219,53666.7643302294,4022,1278846,960165,176260,22709,95794,23918
"98","197","Marion",42.974947368421,50221.9987035385,475,158420,101022,42223,2163,10023,2989
"99","199","Meriwether",43.4679040548258,53421.4850452031,1751,595657,382945,153858,11265,31127,16462
"100","201","Miller",41.4714462299135,53492.5713574406,1618,493073,320478,119439,12388,30108,10660
"101","205","Mitchell",40.8817026786437,46148.4681867859,1373,388041,231525,121908,5573,19691,9344
"102","207","Monroe",40.9125742932739,63165.0730191788,8350,4267320,2782515,872544,131399,370997,109865
"103","209","Montgomery",39.6879705400982,45189.0444375844,1222,345929,238650,71723,3895,25493,6168
"104","211","Morgan",40.4464218573756,64345.7928437806,7979,4251978,2571659,1054603,123422,385021,117273
"105","213","Murray",38.912039800995,53478.1686658617,3015,1046260,818647,47804,12911,148910,17988
"106","215","Muscogee",38.1411300944526,60838.5896169295,26232,10634022,5815241,3431004,288210,732680,366887
"107","217","Newton",38.5341730393708,64838.7598512787,21080,8722071,4870491,2892129,168546,564979,225926
"108","219","Oconee",39.7911003393117,75164.0208136022,10315,3695907,2509722,686105,115667,299583,84830
"109","221","Oglethorpe",41.6263948497854,51486.7392703863,932,281307,192937,55196,4430,22366,6378
"110","223","Paulding",37.1091088797317,71512.0079362123,23466,8907897,5958641,1859753,146457,680899,262147
"111","225","Peach",39.975004618511,62653.1478550216,5413,3160231,1895101,726026,128876,334323,75905
"112","227","Pickens",42.2705643232903,69122.6820801511,8364,2934160,2240889,262818,79630,249480,101343
"113","229","Pierce",41.2077231695085,46331.9120498258,997,246389,189928,37348,796,13827,4490
"114","231","Pike",41.3343928149333,63007.4407906222,1798,487828,376656,73687,8019,18615,10851
"115","233","Polk",39.3623162043353,54700.0444958266,6597,2231514,1665913,288466,35324,184945,56866
"116","235","Pulaski",41.1973799126638,45178.7053475553,229,60378,37572,18262,276,2829,1439
"117","237","Putnam",43.6969851689764,61500.8170041342,4113,1645060,1079241,377592,44983,111607,31637
"118","239","Quitman",41.7111675126904,46344.7196837185,591,223315,123795,74449,5126,14043,5902
"119","241","Rabun",44.4619556913675,62781.812818936,3927,1813033,1292109,217480,72520,179742,51182
"120","243","Randolph",42.057104010877,61001.5637346601,1471,685386,460861,143583,18686,45939,16317
"121","245","Richmond",37.5514363027135,58335.4929350183,31194,13006775,6541479,4774585,324514,909252,456945
"122","247","Rockdale",38.1974997937627,65321.1149591007,18794,9287178,3929983,4150696,233497,734683,238319
"123","249","Schley",39.3357933579336,42929.6236162362,271,56641,29284,22095,558,3947,757
"124","251","Screven",41.9117714285714,48108.2594285714,875,280361,168500,86234,3725,14688,7214
"125","253","Seminole",42.169130661114,45466.1321801425,1921,462186,300840,126858,4885,20545,9058
"126","255","Spalding",40.4962345501581,59742.1726840748,10437,4287546,2637324,1228568,76593,245365,99696
"127","257","Stephens",42.9292586054722,54887.7872590527,4532,1306942,1019331,138771,25533,94900,28407
"128","259","Stewart",43.6933333333333,41490.3555555556,45,18234,9676,5919,449,1691,499
"129","261","Sumter",39.9610471204188,45594.0271607403,2865,805947,411172,320677,13123,46305,14670
"130","263","Talbot",43.0901898734177,54365.2017753364,316,134182,84150,37446,2187,7177,3222
"131","265","Taliaferro",39.3155502392345,65867.0953500256,418,259533,158538,55926,14395,22487,8187
"132","267","Tattnall",39.3063053489196,48656.5737638856,2823,878829,555898,195083,10205,94698,22945
"133","269","Taylor",41.4964912280702,50092.3096223185,798,296011,183636,81083,5826,17793,7673
"134","271","Telfair",42.1348,38480.7365173125,750,197546,122859,54946,1944,14386,3411
"135","273","Terrell",41.5523580365736,49821.8243957505,1039,355800,201353,115585,7717,23627,7518
"136","275","Thomas",41.4347416069408,51878.734454117,5302,1641862,1016157,432524,25841,129399,37941
"137","277","Tift",40.1768927406847,60434.086676331,16352,8422228,5219737,1595520,295942,1098076,212953
"138","279","Toombs",39.8664933837429,45274.0652958025,4232,1026524,648241,244493,15232,99967,18591
"139","281","Towns",47.6510447761194,58058.5970149254,1340,620318,500133,52782,14669,38598,14136
"140","283","Treutlen",41.2830601092896,54402.2280081624,1464,594803,399748,127963,13522,40998,12572
"141","285","Troup",38.9763771801224,60277.9842978287,22655,10155089,6306077,2506494,334955,750484,257079
"142","287","Turner",41.2010746147607,62939.7153549034,2466,1300571,806348,248093,50611,161629,33890
"143","289","Twiggs",40.5422895622896,60183.7256783628,1485,740995,443838,196246,28140,53103,19668
"144","291","Union",49.0408418657565,59020.9218770355,4395,1740510,1366846,141295,49152,140540,42677
"145","293","Upson",41.8740740740741,48261.6557185462,2403,709539,476856,172214,8361,33971,18137
"146","295","Walker",41.2549566294919,53381.3461314523,4842,1441910,1228801,93258,19120,67219,33512
"147","297","Walton",38.7839001951638,66204.9371893116,18011,7416940,4580471,1859845,217544,585365,173715
"148","299","Ware",40.8196306818182,47434.833614434,3520,999198,721937,180794,13141,61986,21340
"149","301","Warren",43.2153846153846,43800.4029763991,455,137528,79910,46186,1691,6258,3483
"150","303","Washington",41.646129707113,44027.7921855858,1912,468447,240318,194432,7917,16511,9269
"151","305","Wayne",39.2104814657009,50611.4419496256,4694,1342478,900373,291344,16414,99084,35263
"152","307","Webster",41.4630111524164,52049.209355885,538,211843,139672,50573,4579,12788,4231
"153","309","Wheeler",39.8877049180328,34218.108331925,122,24694,16555,6958,41,779,361
"154","311","White",43.0702214097095,58785.6498752471,4923,1924264,1457305,201511,57637,160035,47776
"155","313","Whitfield",39.1184798619821,57482.6262236564,16094,6550396,4565601,669814,159106,1016043,139832
"156","315","Wilcox",40.3713513513514,45934.7831304879,555,117632,73007,32664,1993,6555,3413
"157","317","Wilkes",43.3156532988357,49958.0209016336,773,253597,159186,70107,4509,15001,4794
"158","319","Wilkinson",41.7617857142857,48272.7002587992,840,271966,170709,78146,6396,12679,4036
"159","321","Worth",40.5370212765957,52095.3519021188,1175,391809,257374,102105,4659,20250,7421
"160",NA,NA,39.2003861003861,58342.65394688,4144,2000788,1217026,542919,55871,122720,62252
