"","countyfp","name","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"86","173","Lanier",38.848197242842,44947.5637865949,1886,459657,313129,92475,6400,39503,8150
"87","175","Laurens",40.3871119689647,50517.5281334308,19706,6543758,4132456,1656727,159212,442834,152529
"88","177","Lee",39.3557418884433,62703.0234753971,5486,1342435,811939,402277,26875,69911,31433
"89","179","Liberty",36.7172847880241,61012.114104457,19629,9424354,5765140,1933308,267214,1097075,361617
"90","181","Lincoln",42.2367857142857,50972.7862044674,560,209473,139920,46208,2756,13425,7164
"91","183","Long",34.6475903614458,52958.5862342276,830,280863,162588,73732,4745,29842,9956
"92","185","Lowndes",38.5441731560221,57716.8490392353,37089,16721303,10497852,3348573,498025,1944056,432797
"93","187","Lumpkin",40.3660276519112,64019.7651375076,8607,3433648,2644131,301541,102317,306690,78969
"94","189","McDuffie",39.7255373502467,58141.5829709676,11352,5244565,3291643,1241012,133009,419595,159306
"95","191","McIntosh",41.6153489808524,67076.3040862063,6476,3834504,2522534,613930,136623,448493,112924
"96","193","Macon",40.5285279187817,44810.6258031647,985,305542,168161,108072,6705,17128,5476
"97","195","Madison",41.2948371497653,53020.6733984805,7031,2075207,1525053,306813,29285,171663,42393
"98","197","Marion",43.4032863849765,46607.4070610081,852,224081,136255,64695,3104,15068,4959
"99","199","Meriwether",43.3533800350263,53441.2368292727,2855,933383,602815,253014,15030,42789,19735
"100","201","Miller",41.920258780037,52060.4065949885,2705,834972,542906,202651,21393,51253,16769
"101","205","Mitchell",40.0893980233603,45706.8147925488,2226,585217,336709,182771,10643,42179,12915
"102","207","Monroe",40.8706179556937,61261.4374073637,12865,6461645,4272833,1236191,177064,614888,160669
"103","209","Montgomery",40.6783994334278,44368.0533706586,2824,619672,402183,144565,6547,55773,10604
"104","211","Morgan",40.5339675335611,64978.7633492987,12781,6689922,4134076,1585368,188889,592767,188822
"105","213","Murray",39.2370563310113,52812.754388379,5327,1673823,1299141,81039,22172,239683,31788
"106","215","Muscogee",38.4575926838618,60304.0249901467,36522,13903842,7814986,4370300,349049,901318,468189
"107","217","Newton",38.8160477001704,63924.3498050119,29350,11818982,6799421,3607891,267608,838786,305276
"108","219","Oconee",40.1256195879367,72601.4746314298,13396,4561465,3141623,807185,138963,367718,105976
"109","221","Oglethorpe",41.6894406033941,51199.3396363339,1591,516154,355579,96078,9802,42740,11955
"110","223","Paulding",37.2917911116576,70370.5989782722,33593,11947966,7986665,2518978,187195,905257,349871
"111","225","Peach",40.6901008934481,66787.8465857751,31883,15020108,10052481,2485591,513638,1573423,394975
"112","227","Pickens",42.6208443078724,68248.9565774072,13668,5011445,3721033,502204,138033,494929,155246
"113","229","Pierce",40.6834991222937,47157.2563914086,1709,390459,307885,46565,6427,22705,6877
"114","231","Pike",40.7665936130244,61589.4694483221,3194,827154,575379,193919,8248,32582,17026
"115","233","Polk",39.1356006294807,53287.0462738013,11438,3235279,2394317,438574,45169,265020,92199
"116","235","Pulaski",42.4520467836257,49397.6360664511,342,95728,58685,29282,1071,5267,1423
"117","237","Putnam",43.9557077625571,60264.6471755257,7008,2682047,1791614,589878,70853,170583,59119
"118","239","Quitman",42.3364877161056,43074.3556739926,1099,355030,208247,108163,6387,24158,8075
"119","241","Rabun",44.1552078742471,61389.1160533083,6807,3127748,2271043,396169,94002,287521,79013
"120","243","Randolph",41.9358308915864,63668.177471454,2389,1160231,811635,210609,37374,72513,28100
"121","245","Richmond",37.740390233988,57385.2728699147,39361,16017753,8208699,5817521,387352,1047503,556678
"122","247","Rockdale",38.463335818969,65164.1566593769,21866,10898512,5019598,4481247,273324,837775,286568
"123","249","Schley",39.6183838383838,46166.4241008814,495,86990,56687,24231,455,4373,1244
"124","251","Screven",41.109218950064,48484.423815621,1562,480705,306623,129500,6864,23835,13883
"125","253","Seminole",42.1818669527897,46515.9843536707,2796,715301,461931,187174,13139,36575,16482
"126","255","Spalding",40.6743535023851,57659.8194377757,15932,5825940,3554845,1710636,97823,329671,132965
"127","257","Stephens",42.4907663896584,53391.6613977979,6498,1784169,1398710,174326,30149,140793,40191
"128","259","Stewart",40.7803691275168,53007.8124696041,596,281576,171686,69167,5701,27942,7080
"129","261","Sumter",39.6806642941874,45459.8701518347,4215,1095304,582658,407838,16473,66613,21722
"130","263","Talbot",44.17168,52221.7750990291,625,239979,147819,63638,4715,18479,5328
"131","265","Taliaferro",38.6113293051359,64628.5097827982,662,405348,252367,91252,11376,37356,12997
"132","267","Tattnall",39.2481238938053,48562.0310389521,5650,1535101,973869,343182,16616,160641,40793
"133","269","Taylor",41.1610567514677,51160.0649908072,2044,798556,493398,200829,16310,67234,20785
"134","271","Telfair",41.029307568438,39404.8474840763,1242,309481,196502,76751,1815,29366,5047
"135","273","Terrell",41.0127100073046,50337.2204945847,1369,495948,285291,152690,13220,33901,10846
"136","275","Thomas",41.328734439834,50859.1595477622,8676,2474514,1576203,624989,30298,187554,55470
"137","277","Tift",40.1446562760146,59158.7379004013,24935,12323965,7944868,2076604,372127,1621965,308401
"138","279","Toombs",39.7348920447985,44694.6122220836,8661,1784785,1147216,406035,20001,176593,34940
"139","281","Towns",47.2322743318205,57497.2638401012,1983,909208,727868,81190,17123,60550,22477
