"","placekey","brands","city","poi_cbg","name","value","visitor_cbg"
"64","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"131370004003",4,NA
"65","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"131370002011",4,NA
"66","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"132419701004",4,NA
"67","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"130390106011",4,NA
"68","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"130119703001",4,NA
"69","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"131370004001",4,NA
"70","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"470851301003",4,NA
"71","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"131210116153",4,NA
"72","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"131370005003",4,NA
"73","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"131370006022",4,NA
"74","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"130119702001",4,NA
"75","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"131370006013",4,NA
"76","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"131879601023",4,NA
"77","224-222@8gb-rqj-kj9","Marathon","Cornelia",131370006024,"482570506004",4,NA
"78","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470604052",8,NA
"79","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470604051",8,NA
"80","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132171009013",8,NA
"81","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132171008002",6,NA
"82","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470604061",5,NA
"83","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470604062",4,NA
"84","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470604063",4,NA
"85","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470604071",4,NA
"86","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470604041",4,NA
"87","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"131510702021",4,NA
"88","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"120111103372",4,NA
"89","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470604031",4,NA
"90","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"131510702031",4,NA
"91","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132171009031",4,NA
"92","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132171009012",4,NA
"93","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132171009021",4,NA
"94","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470604072",4,NA
"95","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132150105021",4,NA
"96","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470602023",4,NA
"97","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132470601012",4,NA
"98","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"132171008001",4,NA
"99","226-222@8g6-xw2-mx5","BP","Conyers",132470604072,"131590102001",4,NA
"100","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470603043",21,NA
"101","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470602022",17,NA
"102","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470602021",16,NA
"103","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470602024",15,NA
"104","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"480291818092",8,NA
"105","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132171003002",7,NA
"106","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470604041",7,NA
"107","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470604043",6,NA
"108","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130670314083",6,NA
"109","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470603042",6,NA
"110","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470604042",6,NA
"111","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130890234183",6,NA
"112","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470602023",6,NA
"113","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470604063",4,NA
"114","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131131404052",4,NA
"115","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470604031",4,NA
"116","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470603041",4,NA
"117","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131350504351",4,NA
"118","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132971105063",4,NA
"119","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"450850019021",4,NA
"120","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131210090001",4,NA
"121","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130890233034",4,NA
"122","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"110010072001",4,NA
"123","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132171005012",4,NA
"124","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132171002012",4,NA
"125","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131590105003",4,NA
"126","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132379602022",4,NA
"127","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470603092",4,NA
"128","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"371050307011",4,NA
"129","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132171006002",4,NA
"130","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130890234181",4,NA
"131","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132171001003",4,NA
"132","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131510702021",4,NA
"133","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130890234283",4,NA
"134","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470603082",4,NA
"135","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130630405263",4,NA
"136","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132171007002",4,NA
"137","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131350504182",4,NA
"138","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"330150038021",4,NA
"139","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"450150207101",4,NA
"140","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131339502001",4,NA
"141","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131171303012",4,NA
"142","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"320310030005",4,NA
"143","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131510704041",4,NA
"144","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131131402042",4,NA
"145","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130890234132",4,NA
"146","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131350505463",4,NA
"147","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132171005013",4,NA
"148","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130591405001",4,NA
"149","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"131510701103",4,NA
"150","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132171001001",4,NA
"151","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470603073",4,NA
"152","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132150020001",4,NA
"153","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132110102001",4,NA
"154","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132971106032",4,NA
"155","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"360050210028",4,NA
"156","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470603091",4,NA
"157","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130131802062",4,NA
"158","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132171003004",4,NA
"159","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132171008002",4,NA
"160","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"400310003002",4,NA
"161","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130630406142",4,NA
"162","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"132470603061",4,NA
"163","222-223@8g6-x46-m6k","Texaco","Conyers",132470603043,"130890234163",4,NA
"164","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131350501071",38,NA
"165","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302041",32,NA
"166","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303071",28,NA
"167","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305082",26,NA
"168","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304052",26,NA
"169","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304081",22,NA
"170","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303012",22,NA
"171","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305091",22,NA
"172","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305103",21,NA
"173","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302042",20,NA
"174","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305102",19,NA
