"","street_address","latitude","longitude","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"1345","1685 Old Pendergrass Rd",34.122611,-83.605768,38.3864900662252,68300.6088977424,1510,329501,224711,44888,13391,37870,8641
"1346","1685 Ralph David Abernathy Blvd SW",33.748385,-84.44248,35.8492957746479,49903.661971831,142,88870,21653,53699,2224,9084,2210
"1347","1686 Golden Isle W",31.788187,-82.374795,40.0549450549451,51328.4237918216,273,64947,45129,10388,1563,5729,2138
"1348","1687 N Columbia St",33.099876,-83.246306,35.9236363636364,55954.4906832298,165,82151,48396,24309,3070,4719,1657
"1349","1687 N Columbia St",33.099909,-83.246091,39.501083032491,58018.1137614679,554,142095,93219,37568,3124,5809,2375
"1350","1690 Powder Springs Rd SW",33.908066,-84.60175,36.8508196721311,81906.4440366972,549,216342,106517,64173,5685,33610,6357
"1351","1695 Northside Dr NW",33.801101,-84.407471,38.4669491525424,66425.2844827586,236,133493,62883,50066,5592,11235,3717
"1352","16950 GA Highway 74",32.879436,-84.090915,41.9048648648649,56876.4230769231,370,173115,113414,44358,4256,7329,3758
"1353","1697 Norman Dr",33.608474,-84.445889,35.8391304347826,63458.4202898551,69,48256,19196,24077,1509,2172,1302
"1354","1698 E Lamar St",32.063845,-84.201387,41.3810244470314,45043.9822064057,859,161147,95144,48731,1350,13119,2803
"1355","1699 Frederica Rd",31.163314,-81.387303,44.2283544303797,81182.4751958225,395,169948,127577,22026,4623,12098,3624
"1356","17 Argo Rd",34.293492,-83.198635,35.5,44610,8,3068,2699,206,56,68,39
"1357","17 Liberty Hill Church Rd",34.346832,-82.887994,39.4166666666667,50206.8333333333,24,10317,7378,2218,54,491,176
"1358","17 Liberty Hill Church Rd",34.347016,-82.888057,44.4286363636364,52905.9201877934,220,69065,52988,11377,503,2747,1450
"1359","17 Satellite Blvd NE",34.038232,-84.050728,37.6332352941176,89018.4794117647,340,195909,95532,37184,30730,26954,5509
"1360","17 Smith Rd SW",34.25408,-85.23893,36.4623762376238,55116.2268041237,101,52322,32678,9357,920,7489,1878
"1361","17 Us 441 S",34.877744,-83.396567,45.6097130242826,55256.8359550562,453,147309,107286,20379,3290,12215,4139
"1362","170 Antioch Church Rd",34.507918,-84.514983,42.0780769230769,63869.6953125,260,91010,74573,3867,1445,6641,4484
"1363","1700 1st Ave SE",31.177092,-83.765477,35.344,38814.88,50,22789,12671,4412,103,5369,234
"1364","1700 Bold Springs Rd",33.832846,-83.73259,38.9731851851852,64871.563338301,675,271016,174472,53127,8868,27510,7039
"1365","1700 Highway 138",33.742839,-83.852115,39.903300330033,64571.3696369637,303,131950,89010,27945,4294,8189,2512
"1366","1700 Mount Zion Rd",33.572879,-84.333641,37.7594164456233,65897.7131367292,377,272596,79057,142151,14886,27774,8728
"1367","1700 Newnan Crossing Blvd",33.375594,-84.75499,37.901108033241,68416.7479224377,361,150376,96728,34188,2952,12758,3750
"1368","1700 Northside Dr",30.871622,-83.263218,32.1632653061224,38336.9183673469,49,11219,2653,7966,87,181,332
"1369","1700 Zebulon Rd",33.194861,-84.28381,41.3835835835836,58805.4381909548,999,217344,131662,67320,2911,9962,5489
"1370","1701 E Oglethorpe Blvd",31.571352,-84.107251,38.0732394366197,48211.7101449275,142,54672,27322,22372,937,3051,990
"1371","1701 Scott Blvd",33.7973,-84.283482,38.636,65502.8533333333,75,48594,20272,18170,3491,4807,1854
"1372","1701 Williamson Rd",33.222338,-84.308001,39.6356783919598,59729.351758794,199,75145,46902,22188,1337,3149,1569
