year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2019,7,2,nj,US,1754068,546175,724634,408485
2019,7,2,nl,CA,3664,2674,3664,2674
2019,7,2,nm,US,268012,91598,109417,65277
2019,7,2,ns,CA,8303,6102,8303,6102
2019,7,2,nt,CA,270,210,270,210
2019,7,2,nu,CA,126,91,126,91
2019,7,2,nv,US,680568,180618,199776,123207
2019,7,2,ny,US,3346713,1071918,1279263,757156
2019,7,2,oh,US,2223349,751024,994667,579005
2019,7,2,ok,US,913266,267091,381418,211518
2019,7,2,on,CA,163843,116777,163843,116777
2019,7,2,or,US,625930,208036,237522,147652
2019,7,2,pa,US,2005590,694726,877412,519785
2019,7,2,pe,CA,1219,904,1219,904
2019,7,2,pr,US,104918,56823,69223,47705
2019,7,2,qc,CA,66823,48671,66823,48671
2019,7,2,ri,US,161853,55301,64485,37143
2019,7,2,sc,US,1117628,336594,433996,243028
2019,7,2,sd,US,151465,49298,63163,36427
2019,7,2,sk,CA,9359,7235,9359,7235
2019,7,2,tn,US,1463664,444994,583135,333779
2019,7,2,tx,US,6306580,1848687,2497624,1429595
2019,7,2,ut,US,522434,160116,208561,118566
2019,7,2,va,US,1429450,453784,587838,337719
2019,7,2,vi,US,194,133,0,0
2019,7,2,vt,US,69526,26808,32146,19627
2019,7,2,wa,US,1070241,361355,421177,267465
2019,7,2,wi,US,1000803,349187,444634,265909
2019,7,2,wv,US,279226,104745,129182,77898
2019,7,2,wy,US,90376,32213,35060,20773
2019,7,2,yt,CA,251,201,251,201
2019,7,3,ALL,"",64380136,18829471,24627851,14278505
2019,7,3,ALL_CA,CA,371927,276967,371927,276967
2019,7,3,ALL_US,US,64008209,18552962,24255924,14001538
2019,7,3,ab,CA,43554,34220,43554,34220
2019,7,3,ak,US,92021,31477,32216,20666
2019,7,3,al,US,1342564,372685,508190,281976
2019,7,3,ar,US,712254,202371,284502,156023
2019,7,3,as,US,57,41,45,32
2019,7,3,az,US,1121640,333316,417497,248556
2019,7,3,bc,CA,50895,40156,50895,40156
2019,7,3,ca,US,6614970,1818913,2287145,1351450
